scaffold_smiles,template_smiles,source_molecule_id,source_activity_nm,confidence,notes
O=C1CCCC[C@H](N2CCC(c3ccccc3)=CC2=O)c2cc(ccn2)-c2ccccc2N1,*C1CCCC(N2CCC(c3ccccc3)=CC2=O)c2cc(ccn2)-c2ccccc2N([*:1])C1=O,CHEMBL4107149,0.03,low,heuristic two-point LibInvent template; attachment vectors require medchem review
O=C1CCCC[C@H](N2CCC(c3ccccc3)=CC2=O)c2ccnc(c2)-c2ccccc2N1,*C1CCCC(N2CCC(c3ccccc3)=CC2=O)c2ccnc(c2)-c2ccccc2N([*:1])C1=O,CHEMBL4110926,0.04,low,heuristic two-point LibInvent template; attachment vectors require medchem review
O=C1CCCC[C@H](N2CCC(c3ccccc3)=CC2=O)c2cc(ccn2)-c2cc3ccc(=O)[nH]c3cc2N1,*C1CCCC(N2CCC(c3ccccc3)=CC2=O)c2cc(ccn2)-c2cc3ccc(=O)[nH]c3cc2N([*:1])C1=O,CHEMBL4108927,0.05,low,heuristic two-point LibInvent template; attachment vectors require medchem review
O=C1CCCC[C@H](N2CCC(c3ccccc3-n3cnnn3)=CC2=O)c2cc(ccn2)-c2ccccc2N1,*C1CCCC(N2CCC(c3ccccc3-n3cnnn3)=CC2=O)c2cc(ccn2)-c2ccccc2N([*:1])C1=O,CHEMBL4112773,0.05,low,heuristic two-point LibInvent template; attachment vectors require medchem review
O=C1CCCC[C@H](N2CCC(c3ccccc3)=CC2=O)c2nc(c[nH]2)-c2ccccc2N1,*C1CCCC(N2CCC(c3ccccc3)=CC2=O)c2nc(c[nH]2)-c2ccccc2N([*:1])C1=O,CHEMBL4114881,0.05,low,heuristic two-point LibInvent template; attachment vectors require medchem review
O=C1CCCC[C@H](N2CCC(c3ccccc3)=CC2=O)c2cc(ccn2)-c2cc3cc[nH]c3cc2N1,*C1CCCC(N2CCC(c3ccccc3)=CC2=O)c2cc(ccn2)-c2cc3cc[nH]c3cc2N([*:1])C1=O,CHEMBL4109568,0.06,low,heuristic two-point LibInvent template; attachment vectors require medchem review
O=C(Nc1ccccc1)[C@@H]1c2cccc(N3CCC4(CCNC4=O)CC3)c2CCN1C(=O)/C=C/c1ccccc1-n1cnnn1,*N(C(=O)C1c2cccc(N3CCC4(CCNC4=O)CC3)c2CCN1C(=O)C=Cc1ccccc1-n1nnnc1[*:1])c1ccccc1,CHEMBL4068445,0.07,low,heuristic two-point LibInvent template; attachment vectors require medchem review
O=C1CCCC[C@H](N2CCC(c3ccccc3-n3ccnn3)=CC2=O)c2cc(ccn2)-c2[nH]ncc2N1,*C1CCCC(N2CCC(c3ccccc3-n3ccnn3)=CC2=O)c2cc(ccn2)-c2[nH]ncc2N([*:1])C1=O,CHEMBL5076656,0.07,low,heuristic two-point LibInvent template; attachment vectors require medchem review
O=C(Nc1ccccc1)[C@@H]1c2cccc(N3CCCCC3)c2CCN1C(=O)/C=C/c1ccccc1-n1cnnn1,*N(C(=O)C1c2cccc(N3CCCCC3)c2CCN1C(=O)C=Cc1ccccc1-n1nnnc1[*:1])c1ccccc1,CHEMBL4097304,0.098,low,heuristic two-point LibInvent template; attachment vectors require medchem review
O=C1CCCC[C@H](n2cnc(-c3ccccc3-n3ccnn3)cc2=O)c2cc(ccn2)-c2[nH]ncc2N1,*C1CCCC(n2cnc(-c3ccccc3-n3ccnn3)cc2=O)c2cc(ccn2)-c2[nH]ncc2N([*:1])C1=O,CHEMBL4107758,0.1,low,heuristic two-point LibInvent template; attachment vectors require medchem review
